symbol	PD0049_F0	PD0053_F0	PD0054_F0	PD0055_F0	PD0056_F0	PD0057_F0	PD0063_F0	PD0064_F0	PD0073_F0	PD0041_F4	PD0042_F4	PD0043_F4	PD0044_F5	PD0046_F5	PD0047_F4	PD0048_F4	PD0049_F4	PD0050_F5	PD0051_F4	PD0052_F4	PD0053_F4	PD0054_F4	PD0055_F4	PD0056_F4	PD0057_F4	PD0060_F4	PD0062_F4	PD0063_F4	PD0064_F4	PD0068_F5	PD0069_F4	PD0070_F3	PD0072_F5	PD0073_F4	PD0074_F4	PD0075_F4	PD0076_F4	PD0077_F3	PD0081_F4	PD0082_F4	PD0084_F4	PD0085_F4	PD0086_F4	PD0087_F4	PD0090_F3	PD0092_F3	PD0093_F5	PD0097_F4	PD0099_F4	PD0100_F4	PD0101_F4	PD0105_F5
ARMC6	-0.48434197900078	-0.56606846368075	1.469393807001	0.27741103981098	-0.9388151157282	-0.97095833374855	-0.87247966208349	0.040963879115746	-0.015714886870871	0.077318372840575	-0.39839045020874	0.094394796242629	0.64652841951021	-0.21202951467219	0.19667376433792	-0.59797273869331	-0.53308089489283	-0.18433757613341	-0.61573177388622	-0.26326840737847	-0.4939229714574	3.5508675505749	-0.049231525817359	1.0435703917167	-0.043968984552489	-0.90367009064282	-0.54931914590117	-0.21829130871281	-0.10517640409875	-0.026116051033055	-0.23417605632837	-0.75478848805437	-0.19557840802313	0.22175301460108	1.1947956034681	-0.015918098418208	1.6906573939847	0.57048142860717	0.52955157778285	-0.23023990315246	0.025889510658648	-0.21370782174787	0.75803176453958	0.46757144853441	0.11931042621559	0.22655526836389	-0.56267472260397	0.12827735366189	-0.32405965436266	1.010925419022	0.038972370543602	-0.96329625743639
ARMC9	-0.53079045923227	-0.159248861663	-1.499131361999	-0.25764999772984	-1.5806937865613	-0.95678306796487	-0.92775330554902	5.3535022658851	2.2465753239917	3.013728822931	-1.2251504483895	0.53769829585479	4.2921767736547	3.0004510642085	-0.19397586082732	0.32733874364637	-0.94799707082481	-0.93489391180198	-0.87475375553435	-0.27317813260137	-0.82777232091281	-1.5445416690455	-0.42271342498169	-0.78700176262982	-0.47862938336727	-0.0024235373341717	-0.87663434354514	0.83035553335848	14.983626288313	-1.1821813903872	-1.3176346146152	-0.64305428998744	-1.187933650316	1.145496033521	-0.74365878076005	7.9688833126472	-1.4964812586283	1.7166386231258	2.238835036999	0.61763016421093	-0.21602199488698	-1.5717980127821	0.5274542743436	0.15479935644457	7.1375937338308	4.9159993832369	-1.319742577827	-2.0125167224533	0.16072273671735	6.0667098520713	0.74016339621514	0.33763264012745
ASTN2	-0.30218573742819	-0.62452958038821	-0.49529770366064	-0.39408172619933	-0.45382610220858	-0.50810293868584	-0.67408651565333	0.049585520935459	-0.16735342952904	-0.64267733326433	-0.0084089307205765	0.12115494682299	1.1326307856712	-0.35707514609375	0.0053118892415014	0.80797517141845	-0.079392536088016	-0.36343182843063	-0.6496319622029	0.41935629527731	-0.59091307196703	-0.16595692589856	-0.65195082187517	-0.19501244900526	-0.3704928836616	-0.40691881250204	-0.015329812472277	0.27846318297988	-0.61620037846066	0.800444952132	-0.27299668039424	-0.61097669156633	-0.5490054036203	-0.44645830431754	-0.031902025965663	3.2038409638166	-0.40840495008473	-0.36748712441513	-0.31922974603497	-0.22154814604594	0.041483766225675	-0.5193411620513	-0.19667998255392	0.036043326590138	0.36088774246301	-0.45759322770647	-0.41005145838534	-0.4828313410196	-0.25188597246513	0.0459939489073	-0.14285052955312	-0.8381441028775
CRNKL1	-0.22343092624868	-0.58210712927622	0.077321376498932	0.26034785815271	0.042538610592356	-0.14357182013477	-0.27644678109886	0.21174249321407	-0.79708095037834	-0.013748936600292	-0.3843581613393	-0.24505723812717	-0.24465882909273	0.0802572577564	0.16187357990449	-0.14063498461628	-0.49687883811876	-0.60963626042617	-0.28241278616254	-0.23180700575506	-0.44215155602769	-0.037866321586099	0.70854950773619	-0.48076878437531	-0.38107375900434	0.085187709774447	-0.21763309592128	-0.68292708002602	0.16015570212885	-0.43756144586753	-0.087054928837979	-0.34628534508641	-0.66994657869212	-0.12876125859408	0.041837319784041	0.092909830493569	0.14233832930003	-0.68159673338356	0.78854229244384	-0.046465931959863	-0.17646568648212	-0.3872888486743	-0.042050737058175	-0.031096217295822	-0.25922200548845	-0.20126359895015	-0.40570443863331	-0.096307130989264	-0.42038754793009	0.17667348496844	-0.16333627229915	-0.87389740219201
DDX19B	-0.14954877389888	-0.44508470288385	1.0431659361583	0.51227753608104	0.11343042859373	-0.27826466466235	0.13550292351652	0.48113286464429	0.70635799898627	0.93379395555513	0.41201359456613	-0.46835313081761	1.2079387785288	0.79653303566495	0.5773763303061	-0.19377046529851	-0.078756484979815	0.19829380151645	-0.29847752553863	0.098250092989816	-0.48111344584463	0.59501235974143	1.6109859451975	0.28823762465997	0.45235650244051	0.19013149583528	-0.50148744489409	0.64135613648538	0.10632693431596	0.40045121393056	1.2780827824511	1.0065858128792	0.54102704192262	0.26943790066657	0.1531528273867	0.31812085844401	-0.33956689423535	0.55612986460201	0.52861174866047	0.39142201300524	-0.35414294816703	0.046222585043051	0.98438041547523	1.0644993266842	-0.027824327152791	0.60454436694023	0.60322253627969	0.11407410856835	0.40486950052905	0.64112597773183	0.32992075923959	-0.73799079951407
EVPL	0.30587353653505	0.20066180090536	0.23999586191408	0.22941581016886	0.19621245748579	0.29273094636133	0.064322907662003	0.16536406314534	0.26178923671913	0.29758891731836	0.22249211888358	0.24542386152798	0.33283247926649	0.25475725012589	0.30794916844634	-0.0017848170541401	0.33619402644658	0.24529720726506	0.2791539923237	0.37749457932144	0.013203523883142	0.44208470551504	0.086834984869631	0.35989904151613	1.0574944464161	0.17632362715283	0.19100910164903	0.33876805330089	-0.04787739506928	0.90838059262481	0.2041541134027	0.15507736046884	0.74724201754328	0.31788293992421	0.3586725394298	0.49203790144305	0.87838329916278	0.20009684067164	0.1316418165634	0.19136721390244	-0.14851228827929	0.79010544685415	0.70534823389669	0.53840231588643	0.19963476942786	0.17442764268428	0.060369087079001	0.042729546268092	0.12149269978062	0.15523555158692	0.28494017648268	-0.63248035401366
FGF5	0.14242137775774	0.18110673723828	0.13751191866284	0.16546242457083	0.079067378865194	0.099410406798909	0.18411831566863	0.080084008163843	0.33925735004187	0.074373575497273	0.26404850122026	0.24684786860118	4.237048882026	0.10897920243769	0.2180015259965	0.18231000196659	0.23816632219056	0.22519376478279	0.25338184618177	0.16987726886891	0.18220115496774	0.34481621555976	0.1641813212903	0.2431571283365	0.51554145517728	0.14684390733894	0.1147797868166	0.19480074224465	4.0259243311369	0.55768850007148	0.25509085266027	0.13508224982118	0.13662223019264	0.40081432925715	0.1992652902759	0.32016588717012	0.31176717588518	0.14183736306976	0.19299690605538	0.27682221028107	0.22174955503464	0.31521023284085	0.32146261162394	0.23611321551427	0.34843237516398	0.13148958045187	0.10201020441867	0.21163355356644	0.20273211447392	0.17671882484536	0.36320721363557	-0.099397513397251
GAL3ST4	-1.5295773727422	1.1837384277985	-1.0432011756442	-1.8497545512357	-1.1365898577432	0.71787533348182	-1.1245051523016	-1.9227181347484	-1.7518162902477	-1.9299221577573	-1.9008895991363	-1.8818207417516	-1.1794889878939	-1.8864546090886	-1.9489993609823	-1.8574241774571	-1.8801168090814	-1.8664736881853	-1.8398976339562	-1.8948871955602	-1.956349439439	-1.925046312929	-1.9246575342466	-1.9729426819489	-1.7412138177182	-1.9685738842069	-1.8936398717897	-1.8600191501693	-1.9237175085964	-1.8195308006187	-1.8089125507548	-1.8763004450116	-1.8908806085846	-1.777578148419	-1.8686812699461	-1.6879048762002	-1.866503414162	-1.857011437718	-1.8701552867124	-1.9787968641792	-1.874154273591	-1.8605358659796	-1.767915954444	-1.6995332710393	-0.30305548282217	-1.9501814743641	-1.7927006100401	-1.837828282714	-1.8938531897486	-1.8891363992911	-1.6190041201544	-1.6777774158128
IL2	-0.34644218030789	-0.20444847131405	-0.13347481247205	0.14776210536316	-0.19060011158525	-0.023114808524483	-0.090583154761656	-0.0072460272672615	0.058182085768057	0.020726086756425	-0.059021559284525	-0.040711266148052	-0.24309169408512	-0.1524387677779	-0.029196253944799	0.011513535556786	0.07670538515739	-0.03517605686664	0.035616343621539	0.14919039165833	-0.049705642832198	0.074580983106918	-0.12634236392887	0.058078351353752	-0.18376803754423	-0.23898587858373	0.0049188324353272	-0.00485545969112	-0.26202685478486	0.46746824779407	-0.12463905222923	-0.12938216373499	-0.13827551319002	-0.16923771325544	6.5218552290817E-5	-0.13016675522444	-0.12467006180504	-0.10507410181133	-0.29644760698365	0.026227825384586	-0.025680235653088	0.20645129613874	-0.16333629565022	-0.1961626388263	-0.073382930606722	0.05677865635508	-0.23657414574156	-0.25428428608722	0.010998094657436	-0.26421204544823	-0.068109555323795	-0.94987561991118
MTHFD2L	-0.028547439321488	0.082274379384537	0.15515880153174	-0.091175516986676	-0.13295355928799	-0.012021024066061	-0.0011561958530462	-0.12724387471559	2.8643855638098	0.24016464084375	-0.042960753766898	-0.038600134943358	0.58523744711041	-0.0084886263175115	-0.12326258267967	0.47028415852796	0.050695748163156	0.064298385337532	0.67894387771498	0.93084051765033	0.019819212939376	-0.05719350456731	-0.13529353810604	0.043037741799937	0.28949402733828	-0.13968582213636	0.062661382106153	0.12267705622358	0.12795758928527	0.19862583877514	-0.0041000045762621	-0.016418561642046	0.022777183046733	-0.01920790652706	0.092768428816499	0.1367135467121	-0.075912047713198	-0.010047961833383	0.1899984292938	0.051303832080944	0.017763181467935	0.071939383646506	0.092456294638096	0.24196204913773	0.0079922262237217	0.081439393469916	0.018290191261607	0.13556580240113	0.26501494035422	0.0027991403088271	0.1523362251806	0.0090970221249357
